id_venta,fecha,producto,categoria,precio_unitario,cantidad,total,region,cliente_id
1,2024-10-29 00:48:29,Teclado,Accesorios,552.41,1,552.41,Centro,ae325d7d-fc14-41e0-ae54-a4ea1cdd7168
2,2024-11-19 07:31:34,Audífonos,Accesorios,1440.31,1,1440.31,Oeste,35d9068d-8a15-4bef-a9c1-76c410ecce45
3,2025-04-26 01:37:47,Mouse,Accesorios,925.94,3,2777.82,Este,cbad6a60-5360-43b8-919e-5facd7ac7b91
4,2024-09-21 16:25:25,Teclado,Accesorios,825.7,2,1651.4,Norte,f41362da-988a-489e-967e-f76c99034857
5,2024-07-01 15:47:42,Tablet,Electrónica,163.06,2,326.12,Sur,c254d2f3-e06b-4f34-9bb0-a920221b89be
6,2024-08-24 08:27:07,Teléfono,Electrónica,944.92,3,2834.76,Sur,fce8923b-aa91-41be-978a-e63ae994d71e
7,2024-07-10 07:14:46,Monitor,Electrónica,1493.48,3,4480.44,Sur,1bf12275-e590-462a-b736-77e2016519a8
8,2024-10-16 20:37:51,Webcam,Accesorios,1161.99,4,4647.96,Norte,f3f37648-7894-4016-828c-6e99cf8430cc
9,2025-01-25 16:54:33,Laptop,Electrónica,402.43,4,1609.72,Sur,113620b8-7de9-4c69-83e3-0b0bb6337144
10,2025-01-24 00:14:56,Laptop,Electrónica,1050.76,4,4203.04,Este,e20c8fba-0601-4cb7-b099-25760b6c8472
11,2024-09-13 22:30:49,Cargador,Accesorios,586.87,2,1173.74,Este,9d533030-b67c-41b2-a301-234d67dceea0
12,2024-10-10 22:54:14,Tablet,Electrónica,1132.3,4,4529.2,Norte,ea06cd93-2942-4bb9-921e-61c9df061710
13,2025-05-15 21:03:22,Teléfono,Electrónica,579.02,2,1158.04,Norte,1e2c910c-a870-48f2-8b5a-97849dec303b
14,2025-05-17 07:12:25,Bocina,Audio,1218.98,3,3656.94,Este,01e8d7fe-a984-4834-8b15-5fc8034a6ce4
15,2024-10-01 04:55:51,Laptop,Electrónica,886.64,4,3546.56,Centro,4912e12d-2cb5-41a6-beb9-b3b92c0a90b1
16,2024-08-26 17:08:43,Mouse,Accesorios,423.06,4,1692.24,Oeste,36e152a2-fc69-4b12-827f-96beb5eb6101
17,2024-06-28 02:36:03,Audífonos,Accesorios,333.49,4,1333.96,Este,5a5edf92-35e9-437f-a53d-8a3d6318222b
18,2024-10-17 08:07:29,Cargador,Accesorios,972.24,5,4861.2,Sur,d28ee677-afb7-417f-b2e9-749ebe961491
19,2024-10-15 17:57:49,Tablet,Electrónica,1021.37,3,3064.11,Centro,3017cf6f-a934-4ad9-be4a-aecbc90c7fed
20,2024-08-11 00:10:30,Teléfono,Electrónica,596.26,4,2385.04,Norte,25db8329-b69e-4909-a71f-5905889ea963
